Username,Main Category,Main video category
cristiano,Sports,Sports
kyliejenner,Fashion & Beauty,Fashion & Beauty
leomessi,Sports,Sports
selenagomez,Entertainment,Music
therock,,
kimkardashian,Fashion & Beauty,Fashion & Beauty
arianagrande,Entertainment,Music
beyonce,Entertainment,Music
khloekardashian,Sports,Sports
kendalljenner,Fashion & Beauty,Fashion & Beauty
justinbieber,Entertainment,Music
natgeo,Education,Education
nike,Sports,Sports
taylorswift,Entertainment,Music
jlo,Entertainment,Music
virat.kohli,Education,Education
nickiminaj,Entertainment,Music
kourtneykardash,Fashion & Beauty,Fashion & Beauty
mileycyrus,Entertainment,Music
neymarjr,Gaming,Gaming
katyperry,Nonprofits & Activism,Nonprofits & Activism
kevinhart4real,Sports,Sports
zendaya,Entertainment,Movies
iamcardib,Entertainment,Music
ddlovato,Entertainment,Music
badgalriri,Entertainment,Music
kingjames,,
theellenshow,Pets & Animals,Pets & Animals
realmadrid,Sports,Sports
champagnepapi,,
chrisbrownofficial,Entertainment,Music
fcbarcelona,Sports,Sports
billieeilish,Entertainment,Music
dualipa,Entertainment,Music
gal_gadot,Entertainment,Entertainment
vindiesel,Film & Animation,Film & Animation
priyankachopra,Autos & Vehicles,Autos & Vehicles
lalalalisa_m,,
nasa,Science & Technology,Science & Technology
shakira,Entertainment,Music
gigihadid,Gaming,Gaming
snoopdogg,Entertainment,Music
davidbeckham,Sports,Sports
shraddhakapoor,Entertainment,Movies
victoriassecret,Fashion & Beauty,Fashion & Beauty
k.mbappe,Sports,Sports
nehakakkar,Entertainment,Music
shawnmendes,Entertainment,Music
nba,Sports,Sports
narendramodi,News & Politics,News & Politics
jennierubyjane,,
deepikapadukone,Entertainment,Movies
tomholland2013,Entertainment,Movies
aliaabhatt,Entertainment,Movies
ronaldinho,Sports,Sports
emmawatson,Movies,Movies
bts.bighitofficial,,
katrinakaif,Entertainment,Movies
justintimberlake,Music,Music
marvel,Entertainment,Movies
camila_cabello,Entertainment,Music
willsmith,Entertainment,Entertainment
raffinagita1717,Entertainment,Entertainment
anitta,,
maluma,,
akshaykumar,Entertainment,Movies
jacquelinef143,Entertainment,Movies
sooyaaa__,Film & Animation,Film & Animation
psg,Sports,Sports
roses_are_rosie,Sports,Sports
anushkasharma,Entertainment,Movies
manchesterunited,Sports,Sports
whinderssonnunes,,
9gag,Pets & Animals,Pets & Animals
marcelotwelve,Entertainment,Shows
karimbenzema,Music,Music
chrishemsworth,Entertainment,Movies
paulpogba,,
iamzlatanibrahimovic,Sports,Sports
