Username,Likes,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
cristiano,22876451727,3328,465027234,92,51758.33093,17009493.6,,,3321113,5327340.25,6948658.867,0.014915592,0.015903093
kyliejenner,43048545079,6921,356687629,91,47534.12096,22875472.89,,,1223002,2196528.5,4692458.947,0.017617215,0.016188635
leomessi,4670492197,875,347032978,90,47044.54031,11761596.37,,4810554,3199807,5359468.6,5668453.857,0.015533562,0.019045021
selenagomez,8442642603,1835,334551681,93,39167.11573,10723973,,,,2340219,2340219,0.013912687,0.007719662
therock,9562231242,6660,327064138,91,8529.747043,5413831.363,,,713970,1101338.556,1165227.385,0.004425938,0.003722545
kimkardashian,14920061391,5603,323090977,91,16964.80744,9642516.175,,2583151,2699977.667,2704005.273,2586789.375,0.008303645,0.009688863
arianagrande,14762818149,4961,321374794,92,19077.73158,6654929.03,,,3813109,3813109,3384398,0.009325677,0.01015791
beyonce,5779974409,2036,267023539,92,24558.1454,8767897.171,,,4311158,4311158,1686724.154,0.010757704,0.006770543
khloekardashian,6914667303,4092,260359924,89,10442.21154,7593868.457,,,,,,0.006556504,0.003111744
kendalljenner,2743201320,666,247599374,90,21191.32992,14428678.31,,6702150,6347174.5,5977548.25,5058515.429,0.016728936,0.019338982
justinbieber,11114108294,7305,247448517,91,10084.74627,4337923.863,,,,,1415614.875,0.006190988,0.004042318
natgeo,2521782123,10002,232020700,91,1225.234286,2345345.444,58181,95034.3,111805.9231,138451.3774,158992.7103,0.001091963,0.0007262
nike,298611326.8,932,228524022,90,5520.935484,2638441.274,,,300163.3333,273080,236986.6667,0.001431226,0.000755184
taylorswift,1037365488,537,218097325,91,334.73,7916979.967,,,,2049206,2049206,0.008864363,0.017282584
jlo,4015633611,3151,217547805,89,11942.84,6363148.91,,,,688847,812984.6,0.005914066,0.005410155
virat.kohli,3592490225,1390,206743723,87,18090.06726,4841319.094,,,2740001,2874632,2210917.5,0.012603389,0.011349235
nickiminaj,10280946999,6327,197697257,90,19624.63445,6688655.285,,,,,,0.00832535,0.006336257
kourtneykardash,6239027312,4349,188868254,89,6616.92757,5363247.324,,,,916201,1118825.75,0.007638772,0.012606994
mileycyrus,1232462265,1217,178122866,89,6343.567721,4289871.829,,,,1340388,1340388,0.005723479,0.009130448
neymarjr,11825612530,5247,176162107,90,47.64193548,6758889.172,,1712450,1749894,1888862.833,2151442.857,0.012795894,0.012232248
katyperry,1207583442,2028,167005817,92,4824.746385,2224739.083,165159,165159,165159,364755,325682.2857,0.003596238,0.002112333
kevinhart4real,3440231765,8126,148755284,88,3749.928125,2553278.824,,,123142.5,155624.8,128413.7143,0.002873186,0.00104659
zendaya,14727094360,3537,147816903,87,16106.14286,7685347.789,,,3970268,3958943,4755622.5,0.028353837,0.056179011
iamcardib,3453484312,1596,137199449,75,18910.93456,10726141.9,,2193580,2253376.333,2209430.8,1829675.583,0.015960394,0.015713245
ddlovato,57864919.34,66,136695965,88,9535.060976,2385574.5,,,,530567,355926.2222,0.006487487,0.00282827
badgalriri,13027355720,4837,133436105,88,20974.19024,8827574.284,,,,,,0.020384431,0.029145249
kingjames,3894494471,2331,127326148,86,13785.9837,5584779.543,803501,803501,879697.5,1429823.4,1462300.833,0.013242215,0.009984176
theellenshow,3221788813,9987,123619409,87,3787.956893,3577368.09,,,,84741,79112.8,0.0026418,0.000862307
realmadrid,5446654787,6593,121711711,90,3553.235076,3058169.529,647959.75,568533.5556,647859.4074,660730.3396,801848.313,0.006818829,0.007847947
champagnepapi,7080377088,5194,116476688,85,83.42094456,4816847.969,,1688951,1688951,1365792.667,1599806.923,0.011733206,0.013645195
chrisbrownofficial,2632604326,7282,115007167,86,3862.719491,2049063.463,,,287076.5,410872.1667,371779,0.003186224,0.003146051
fcbarcelona,9631251593,9988,109950457,90,4342.094241,4286283.064,933228.5,797160.5,735920.7368,740394.1429,732259.88,0.008816628,0.006355039
billieeilish,4597695016,684,104462435,73,45267.42265,15804630,,,7377994,5593146.8,4345861.5,0.064805141,0.04883905
dualipa,1924649935,1224,85085187,74,4827.426546,2892223.343,487197,659692.8,935806.8182,939716.1176,1173231.235,0.018537648,0.016525307
gal_gadot,1676682095,1676,83763785,85,4787.181416,3104604.989,481129,481129,470165.3333,470165.3333,580991.4545,0.012006866,0.008213454
vindiesel,1866453678,1817,81632030,88,7997.02139,3097254.175,,,384524,384524,364442,0.012693786,0.007228623
priyankachopra,4188562034,3545,80262430,85,4660.018248,3910075.544,,,,2518390,1604862.857,0.014783911,0.022965684
lalalalisa_m,3984721201,860,79870794,70,51630.40417,8284125.55,,6404213,5049325.5,7494265.375,8190369.9,0.058718038,0.10343988
nasa,3464512773,3522,78572117,88,3965.166884,2742669.772,327227.5,533789.3333,614062,654025.6667,715564.7826,0.012579605,0.010578574
shakira,1527021677,1976,75751033,88,6292.06181,4121447.828,,124610,124610,124610,310397.6667,0.010291939,0.007294925
gigihadid,6314352561,3248,74890004,85,6586.713062,8933626.643,,,,2063724.5,2063724.5,0.026047174,0.031771407
snoopdogg,1755836108,9995,74552708,86,2673.899294,1259594.406,48391,57393.16667,79461.43478,138903.9464,134955.6612,0.002393954,0.001648726
davidbeckham,1445693833,1522,74516736,86,4077.069091,3354963.688,,,,237234,421613.5,0.012811143,0.00816315
shraddhakapoor,2189221609,1872,73424750,81,6224.394537,2550143.938,,825124,825124,825124,825124,0.016021451,0.01888054
victoriassecret,315386787.1,2796,73016997,88,389.1310665,412003.2732,,14910,17489.5,23730.33333,22321.29412,0.001550663,0.000286625
k.mbappe,2369430073,1149,72335779,86,10607.11652,6006698.25,,1067835,1332534.667,1462670.333,1754809.125,0.028674938,0.033775773
nehakakkar,2681817707,2298,70376999,84,7334.274016,4497085.661,,,,329835.5,711477.75,0.016692846,0.008883426
shawnmendes,6860739274,2532,69407554,83,23995.50972,3180541.713,,2055267.667,1678390.429,1678390.429,1831551.154,0.039420828,0.025101069
nba,3706978458,12610,68938585,87,1014.688845,1863379.104,138689.75,186225,205004.7667,202891.8657,223104.6272,0.004284871,0.003080069
narendramodi,1190976040,537,68330604,85,24367.3431,5185283.813,,,,1230562,1830545.6,0.032833921,0.023287971
jennierubyjane,3387108066,857,68085856,76,42238.50149,5690914.514,,,,6395073,7258851.667,0.058716801,0.114818969
deepikapadukone,288480120.4,258,67796542,83,4756.226277,4012606.32,,1638516,1638516,1181600.333,1181600.333,0.016576823,0.013678536
tomholland2013,5304836877,1218,67657871,77,27396.79121,9892997.667,,,7582873,7582873,6994957,0.064857026,0.126070253
aliaabhatt,2402387530,1820,67428908,82,6892.528109,3586775.894,568946,1716864.5,2220579.667,3554326,2127322.75,0.019699079,0.041350825
